Model Identifier	Latest Compatible macOS
iMac21,1	
iMac21,2	
iMac20,1	
iMac20,2	
iMac19,1	
iMac19,2	
iMacPro1,1	
iMac18,3	
iMac18,2	
iMac18,1	
iMac17,1	Monterey
iMac16,2	Monterey
iMac16,1	Monterey
iMac15,1	Monterey
iMac15,1	Big Sur
iMac14,4	Big Sur
iMac14,2	Catalina
iMac14,1	Catalina
iMac13,2	Catalina
iMac13,1	Catalina
iMac12,2	High Sierra
iMac12,1	High Sierra
iMac11,3	High Sierra
iMac11,2	High Sierra
iMac10,1	High Sierra
iMac10,1	High Sierra
iMac9,1	El Capitan
iMac9,1	El Capitan

Macmini9,1	
Macmini8,1	
Macmini7,1	Monterey
Macmini6,1	Catalina
Macmini6,2	Catalina
Macmini5,1	High Sierra
Macmini5,2	High Sierra
Macmini4,1	High Sierra
Macmini3,1	El Capitan
Macmini3,1	El Capitan

MacPro7,1	
MacPro7,1	
MacPro6,1	Monterey
MacPro5,1	Mojave
MacPro5,1	Mojave
MacPro5,1	Mojave
MacPro5,1	Mojave
MacPro4,1	El Capitan

Mac13,1	
Mac13,2	

MacBook10,1	
MacBook9,1	Monterey
MacBook8,1	Big Sur
MacBook7,1	High Sierra
MacBook6,1	High Sierra
MacBook5,2	El Capitan
MacBook5,2	El Capitan

Mac14,2	
MacBookAir10,1	
MacBookAir9,1	
MacBookAir8,2	
MacBookAir8,1	
MacBookAir7,2	Monterey
MacBookAir7,2	Monterey
MacBookAir7,1	Monterey
MacBookAir6,2	Big Sur
MacBookAir6,1	Big Sur
MacBookAir6,2	Big Sur
MacBookAir6,1	Big Sur
MacBookAir5,2	Catalina
MacBookAir5,1	Catalina
MacBookAir4,2	High Sierra
MacBookAir4,1	High Sierra
MacBookAir3,2	High Sierra
MacBookAir3,1	High Sierra
MacBookAir2,1	El Capitan

Mac14,7	
MacBookPro18,3	
MacBookPro18,4	
MacBookPro18,1	
MacBookPro18,2	
MacBookPro17,1	
MacBookPro16,3	
MacBookPro16,2	
MacBookPro16,1	
MacBookPro16,4	
MacBookPro15,4	
MacBookPro15,1	
MacBookPro15,3	
MacBookPro15,2	
MacBookPro15,1	
MacBookPro15,2	
MacBookPro14,3	
MacBookPro14,2	
MacBookPro14,1	
MacBookPro13,3	Monterey
MacBookPro13,2	Monterey
MacBookPro13,1	Monterey
MacBookPro11,4	Monterey
MacBookPro11,5	Monterey
MacBookPro12,1	Monterey
MacBookPro11,2	Big Sur
MacBookPro11,3	Big Sur
MacBookPro11,1	Big Sur
MacBookPro11,2	Big Sur
MacBookPro11,3	Big Sur
MacBookPro11,1	Big Sur
MacBookPro10,1	Catalina
MacBookPro10,2	Catalina
MacBookPro10,2	Catalina
MacBookPro10,1	Catalina
MacBookPro9,1	Catalina
MacBookPro9,2	Catalina
MacBookPro8,3	High Sierra
MacBookPro8,2	High Sierra
MacBookPro8,1	High Sierra
MacBookPro8,3	High Sierra
MacBookPro8,2	High Sierra
MacBookPro8,1	High Sierra
MacBookPro6,1	High Sierra
MacBookPro6,2	High Sierra
MacBookPro7,1	High Sierra
MacBookPro5,2	El Capitan
MacBookPro5,3	El Capitan
MacBookPro5,3	El Capitan
MacBookPro5,5	El Capitan
MacBookPro5,2	El Capitan
MacBookPro5,1	El Capitan
MacBookPro4,1	El Capitan
MacBookPro4,1	El Capitan
